State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,lat,lon,NDVI,ndvi_mean,NDVI_Mean,Weather_Temp
Haryana,Hissar,Hansi,Tomato,Other,Non-FAQ,14/08/2025,5000.0,6000.0,5500.0,29.9256437,76.5276288,,,0.5,18.258333333333333
Haryana,Jhajar,Jhajjar,Brinjal,Other,FAQ,14/08/2025,1400.0,1600.0,1500.0,29.25,76.33333,,,0.614,18.8
Haryana,Jhajar,Jhajjar,Onion,Other,FAQ,14/08/2025,1400.0,1600.0,1500.0,29.25,76.33333,,,0.56,18.8
Haryana,Jhajar,Jhajjar,Tomato,Other,FAQ,14/08/2025,6300.0,6700.0,6500.0,29.25,76.33333,,,0.362,18.8
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,14/08/2025,4000.0,6000.0,5000.0,29.3152073,76.314082,,,0.47,18.670833333333334
Haryana,Jind,Narwana,Potato,Other,FAQ,14/08/2025,1200.0,1200.0,1200.0,29.3152073,76.314082,,,0.391,
Haryana,Kaithal,Pundri,Onion,Other,FAQ,14/08/2025,1200.0,1300.0,1250.0,29.7996588,76.3989903,,,0.377,18.133333333333333
Haryana,Karnal,Indri,Pomegranate,Other,Medium,14/08/2025,10000.0,10000.0,10000.0,29.7255766,76.9106924,,,0.415,18.26666666666667
Haryana,Kurukshetra,Pehowa,Onion,Other,FAQ,14/08/2025,2200.0,2340.0,2300.0,29.9693747,76.8482787,,,0.656,18.2375
Haryana,Kurukshetra,Shahabad,Brinjal,Brinjal,FAQ,14/08/2025,1200.0,2200.0,2000.0,29.9693747,76.8482787,,,0.483,18.2375
Haryana,Kurukshetra,Shahabad,Capsicum,Capsicum,FAQ,14/08/2025,3500.0,5000.0,4000.0,29.9693747,76.8482787,,,0.612,18.2375
Haryana,Kurukshetra,Shahabad,Onion,Onion,Non-FAQ,14/08/2025,1625.0,1800.0,1700.0,29.9693747,76.8482787,,,0.415,18.2375
Haryana,Kurukshetra,Shahabad,Pomegranate,Pomogranate,Medium,14/08/2025,7000.0,8000.0,7500.0,29.9693747,76.8482787,,,0.483,18.2375
Haryana,Kurukshetra,Shahabad,Pumpkin,Pumpkin,FAQ,14/08/2025,700.0,1000.0,800.0,29.9693747,76.8482787,,,0.441,18.2375
Haryana,Kurukshetra,Shahabad,Raddish,Raddish,FAQ,14/08/2025,1800.0,1800.0,1800.0,29.9693747,76.8482787,,,0.66,18.2375
Haryana,Mahendragarh-Narnaul,Narnaul,Brinjal,Brinjal,FAQ,14/08/2025,1000.0,2500.0,2000.0,28.0530574,76.1136303,,,0.567,19.3875
Haryana,Mahendragarh-Narnaul,Narnaul,Cabbage,Cabbage,FAQ,14/08/2025,2000.0,2500.0,2500.0,28.0530574,76.1136303,,,0.421,19.3875
Haryana,Mahendragarh-Narnaul,Narnaul,Green Chilli,Green Chilly,FAQ,14/08/2025,3000.0,5000.0,4000.0,28.0530574,76.1136303,,,0.494,19.3875
Haryana,Mahendragarh-Narnaul,Narnaul,Guava,Guava,Medium,14/08/2025,1500.0,2500.0,2500.0,28.0530574,76.1136303,,,0.47,19.3875
Haryana,Mahendragarh-Narnaul,Narnaul,Lemon,Lemon,FAQ,14/08/2025,3000.0,4000.0,3500.0,28.0530574,76.1136303,,,0.653,19.3875
Haryana,Mahendragarh-Narnaul,Narnaul,Potato,Potato,Non-FAQ,14/08/2025,1000.0,1000.0,1000.0,28.0530574,76.1136303,,,0.693,19.3875
Haryana,Panipat,Panipat,Brinjal,Arkasheela Mattigulla,FAQ,14/08/2025,800.0,1600.0,1200.0,29.3912753,76.9771675,,,0.482,18.354166666666668
Haryana,Panipat,Panipat,Onion,Other,FAQ,14/08/2025,600.0,1800.0,1200.0,29.3912753,76.9771675,,,0.698,18.354166666666668
Haryana,Panipat,Panipat,Raddish,Other,FAQ,14/08/2025,1000.0,1500.0,1250.0,29.3912753,76.9771675,,,0.534,18.354166666666668
Haryana,Panipat,Samalkha,Bhindi(Ladies Finger),Bhindi,FAQ,14/08/2025,1500.0,1500.0,1500.0,29.3912753,76.9771675,,,0.689,18.354166666666668
Haryana,Panipat,Samalkha,Brinjal,Brinjal,FAQ,14/08/2025,1000.0,1000.0,1000.0,29.3912753,76.9771675,,,0.47,18.354166666666668
Haryana,Panipat,Samalkha,Capsicum,Capsicum,FAQ,14/08/2025,4000.0,4000.0,4000.0,29.3912753,76.9771675,,,0.451,18.354166666666668
Haryana,Rohtak,Meham,Banana,Other,Medium,14/08/2025,1600.0,1600.0,1600.0,28.9010899,76.5801935,,,0.6,18.483333333333334
Haryana,Sonipat,Ganaur,Bottle gourd,Bottle Gourd,FAQ,14/08/2025,1800.0,2000.0,1800.0,28.9953758,77.0233627,,,0.642,
Haryana,Sonipat,Ganaur,Garlic,Average,FAQ,14/08/2025,5500.0,6000.0,5800.0,28.9953758,77.0233627,,,0.548,18.224999999999998
