State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Tomato,Deshi,FAQ,14/08/2025,4000,5400,4800
"Himachal Pradesh",Kangra,Palampur,"Bitter gourd",Other,FAQ,14/08/2025,3800,4000,3900
"Himachal Pradesh",Kangra,Palampur,Brinjal,Brinjal,FAQ,14/08/2025,2500,3000,2700
"Himachal Pradesh",Kangra,Palampur,Carrot,Carrot,FAQ,14/08/2025,2800,3000,2900
"Himachal Pradesh",Kangra,Palampur,"French Beans (Frasbean)",Other,FAQ,14/08/2025,6000,7000,6500
"Himachal Pradesh",Kangra,Palampur,Guava,Other,Medium,14/08/2025,6800,7000,6900
"Himachal Pradesh",Kangra,Palampur,Potato,Other,FAQ,14/08/2025,1500,2600,2200
"Himachal Pradesh",Kangra,Palampur,Raddish,Raddish,FAQ,14/08/2025,1800,2000,1900
"Himachal Pradesh",Kangra,Palampur,Spinach,Spinach,FAQ,14/08/2025,3500,4000,3700
"Himachal Pradesh",Kangra,Palampur,"Sponge gourd",Other,FAQ,14/08/2025,4800,5000,4900
"Himachal Pradesh",Kullu,Bandrol,Cucumbar(Kheera),Other,FAQ,14/08/2025,1000,1800,1400
"Himachal Pradesh",Kullu,Bandrol,Pear(Marasebu),Other,Medium,14/08/2025,1000,5200,3500
"Himachal Pradesh",Kullu,Bandrol,Tomato,Other,FAQ,14/08/2025,1500,4200,2800
"Himachal Pradesh",Kullu,"Kullu(Chauri Bihal)",Apple,Apple,Medium,14/08/2025,1500,6000,5000
"Himachal Pradesh",Kullu,"Kullu(Chauri Bihal)","French Beans (Frasbean)",Other,FAQ,14/08/2025,3800,4000,3900
"Himachal Pradesh",Kullu,"Kullu(Chauri Bihal)","Squash(Chappal Kadoo)",Other,FAQ,14/08/2025,500,2600,2000
"Himachal Pradesh",Mandi,Mandi(Mandi),Apple,Apple,Small,14/08/2025,1300,3000,2500
"Himachal Pradesh",Mandi,Mandi(Mandi),Cabbage,Cabbage,FAQ,14/08/2025,1000,2500,1500
"Himachal Pradesh",Mandi,Mandi(Mandi),Cauliflower,Cauliflower,FAQ,14/08/2025,3000,4500,4000
"Himachal Pradesh",Mandi,Mandi(Mandi),Mango,Other,Medium,14/08/2025,10000,15000,12500
"Himachal Pradesh",Mandi,Mandi(Mandi),Pear(Marasebu),Pears,Medium,14/08/2025,6000,10000,7000
"Himachal Pradesh",Mandi,Mandi(Mandi),Potato,Potato,FAQ,14/08/2025,1200,2500,2000
"Himachal Pradesh",Mandi,Mandi(Mandi),"Sponge gourd","Sponge gourd",FAQ,14/08/2025,1800,3000,2500
"Himachal Pradesh",Mandi,Mandi(Mandi),Tomato,Tomato,FAQ,14/08/2025,3000,5000,4000
"Himachal Pradesh",Shimla,Rohroo,Apple,Apple,Large,14/08/2025,1500,10000,5000
"Himachal Pradesh",Shimla,Rohroo,Capsicum,Capsicum,FAQ,14/08/2025,3000,4000,3500
"Himachal Pradesh",Shimla,Rohroo,Carrot,Carrot,FAQ,14/08/2025,4000,4500,4200
"Himachal Pradesh",Shimla,Rohroo,Papaya,Other,Large,14/08/2025,4800,5200,5000
"Himachal Pradesh",Shimla,"Shimla and Kinnaur(Rampur)","Bhindi(Ladies Finger)",Bhindi,FAQ,14/08/2025,4000,4500,4200
"Himachal Pradesh",Shimla,"Shimla and Kinnaur(Rampur)",Cucumbar(Kheera),Cucumbar,FAQ,14/08/2025,6000,6500,6200
"Himachal Pradesh",Shimla,"Shimla and Kinnaur(Rampur)",Mango,Other,Medium,14/08/2025,3000,4000,3500
"Himachal Pradesh",Shimla,"Shimla and Kinnaur(Rampur)",Pomegranate,Other,Medium,14/08/2025,8000,8500,8200
"Himachal Pradesh",Shimla,"Shimla and Kinnaur(Rampur)",Tomato,Tomato,FAQ,14/08/2025,7000,7500,7200
"Himachal Pradesh",Shimla,"Shimla and Kinnaur(Theog)",Cabbage,Other,FAQ,14/08/2025,1000,1400,1000
"Himachal Pradesh",Sirmore,Nahan,Cabbage,Other,FAQ,14/08/2025,2000,2500,2200
"Himachal Pradesh",Sirmore,Nahan,Capsicum,Other,FAQ,14/08/2025,5000,6000,5500
"Himachal Pradesh",Sirmore,Nahan,Onion,Other,FAQ,14/08/2025,1800,2200,2000
"Himachal Pradesh",Sirmore,Nahan,Papaya,Other,Large,14/08/2025,3000,4000,3500
"Himachal Pradesh",Sirmore,Nahan,Pomegranate,Other,Large,14/08/2025,10000,12000,11000
"Himachal Pradesh",Sirmore,"Paonta Sahib",Apple,Other,Large,14/08/2025,6000,16200,10000
"Himachal Pradesh",Sirmore,"Paonta Sahib","Bhindi(Ladies Finger)",Other,FAQ,14/08/2025,2000,2500,2200
"Himachal Pradesh",Sirmore,"Paonta Sahib",Brinjal,Other,FAQ,14/08/2025,2000,2500,2200
"Himachal Pradesh",Sirmore,"Paonta Sahib",Cauliflower,Other,FAQ,14/08/2025,5000,6000,5500
"Himachal Pradesh",Sirmore,"Paonta Sahib",Coriander(Leaves),Other,FAQ,14/08/2025,6000,10000,8000
"Himachal Pradesh",Sirmore,"Paonta Sahib","Green Chilli",Other,FAQ,14/08/2025,4000,5000,4500
"Himachal Pradesh",Sirmore,"Paonta Sahib",Pumpkin,Other,FAQ,14/08/2025,1500,2000,1800
"Himachal Pradesh",Solan,Solan,Garlic,Other,FAQ,14/08/2025,4000,10000,6500
"Himachal Pradesh",Solan,Solan,Guava,Other,Medium,14/08/2025,2500,3000,3000
"Himachal Pradesh",Solan,Solan,Pomegranate,Other,Medium,14/08/2025,10000,15000,12000
"Himachal Pradesh",Solan,Solan,Pumpkin,Other,FAQ,14/08/2025,1200,2000,1600
"Himachal Pradesh",Solan,Solan,Raddish,Other,FAQ,14/08/2025,500,2500,1800
"Himachal Pradesh",Solan,Solan(Nalagarh),"Bitter gourd",Other,FAQ,14/08/2025,2200,3000,2500
"Himachal Pradesh",Solan,Solan(Nalagarh),"Bottle gourd",Other,FAQ,14/08/2025,2000,2500,2200
"Himachal Pradesh",Solan,Solan(Nalagarh),Cabbage,Other,FAQ,14/08/2025,1800,2200,2000
"Himachal Pradesh",Solan,Solan(Nalagarh),Ginger(Green),"Green Ginger",FAQ,14/08/2025,5000,6000,5500
"Himachal Pradesh",Solan,Solan(Nalagarh),"Green Chilli",Other,FAQ,14/08/2025,3500,4000,3800
"Himachal Pradesh",Solan,Solan(Nalagarh),Mango,Other,Medium,14/08/2025,4000,6000,5000
"Jammu and Kashmir",Jammu,Batote,Pear(Marasebu),Pears,Large,14/08/2025,4000,4400,4200
"Jammu and Kashmir",Jammu,"Narwal Jammu (F&V)",Apple,Delicious,Medium,14/08/2025,9000,12000,10500
"Jammu and Kashmir",Jammu,"Narwal Jammu (F&V)",Apple,Other,Medium,14/08/2025,8000,12000,10000
"Jammu and Kashmir",Jammu,"Narwal Jammu (F&V)",Apple,Rizakwadi,Medium,14/08/2025,3500,4000,3750
