State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,lat,lon,NDVI,ndvi_mean
Gujarat,Patan,Siddhpur,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,14/08/2025,1625.0,2815.0,2220.0,23.773753,71.6798581,,
Gujarat,Patan,Siddhpur,Jowar(Sorghum),Jowar ( White),FAQ,14/08/2025,2250.0,7005.0,4627.0,23.773753,71.6798581,,
Gujarat,Porbandar,Porbandar,Coriander(Leaves),Coriander,FAQ,14/08/2025,2500.0,3500.0,3000.0,21.602975,69.8538067,,
Gujarat,Porbandar,Porbandar,Ground Nut Seed,Ground Nut Seed,FAQ,14/08/2025,5250.0,5800.0,5525.0,21.602975,69.8538067,,
Gujarat,Porbandar,Porbandar,Mousambi(Sweet Lime),Mousambi,Large,14/08/2025,3000.0,3500.0,3250.0,21.602975,69.8538067,,
Gujarat,Porbandar,Porbandar,Potato,(Red Nanital),FAQ,14/08/2025,1250.0,1750.0,1500.0,21.602975,69.8538067,,
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Brinjal,Brinjal,FAQ,14/08/2025,500.0,1750.0,1125.0,22.3053263,70.8028377,,
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Coriander(Leaves),Coriander,FAQ,14/08/2025,500.0,1500.0,1000.0,22.3053263,70.8028377,,
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Green Chilli,Green Chilly,FAQ,14/08/2025,1000.0,1500.0,1250.0,22.3053263,70.8028377,,
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Local,Non-FAQ,14/08/2025,2400.0,2624.0,2500.0,23.8688505,73.013784,,
Gujarat,Sabarkantha,Himatnagar,Maize,Yellow,FAQ,14/08/2025,2300.0,2365.0,2340.0,23.8688505,73.013784,,
Gujarat,Sabarkantha,Himatnagar,Wheat,Sonalika,FAQ,14/08/2025,2705.0,2965.0,2850.0,23.8688505,73.013784,,
Gujarat,Surat,Songadh(Badarpada),Bhindi(Ladies Finger),Bhindi,FAQ,14/08/2025,2000.0,3000.0,2590.0,21.2094892,72.8317058,,
Gujarat,Surat,Surat,Beetroot,Other,FAQ,14/08/2025,1600.0,2300.0,1950.0,21.2094892,72.8317058,,
Gujarat,Surat,Surat,Bottle gourd,Other,FAQ,14/08/2025,2500.0,4000.0,3250.0,21.2094892,72.8317058,,
Gujarat,Surat,Surat,Cabbage,Other,FAQ,14/08/2025,500.0,1400.0,950.0,21.2094892,72.8317058,,
Gujarat,Surat,Surat,Capsicum,Other,FAQ,14/08/2025,1500.0,3800.0,2650.0,21.2094892,72.8317058,,
Gujarat,Surat,Surat,Carrot,Other,FAQ,14/08/2025,1500.0,2500.0,2000.0,21.2094892,72.8317058,,
Gujarat,Surat,Surat,Cauliflower,Other,FAQ,14/08/2025,1500.0,3000.0,2250.0,21.2094892,72.8317058,,
Gujarat,Surat,Surat,Cucumbar(Kheera),Other,FAQ,14/08/2025,2000.0,4000.0,3000.0,21.2094892,72.8317058,,
Gujarat,Surat,Surat,Elephant Yam (Suran),Other,FAQ,14/08/2025,4000.0,5000.0,4500.0,21.2094892,72.8317058,,
Gujarat,Surat,Surat,Peas cod,Other,FAQ,14/08/2025,8500.0,10500.0,9500.0,21.2094892,72.8317058,,
Gujarat,Surat,Surat,Sponge gourd,Other,FAQ,14/08/2025,1000.0,2000.0,1500.0,21.2094892,72.8317058,,
Gujarat,Surat,Surat,Turmeric (raw),Other,FAQ,14/08/2025,5000.0,16000.0,10500.0,21.2094892,72.8317058,,
Gujarat,Vadodara(Baroda),Padra,Brinjal,Other,FAQ,14/08/2025,1000.0,1500.0,1250.0,22.3041662,73.2012585,,
Gujarat,Vadodara(Baroda),Padra,Cabbage,Other,FAQ,14/08/2025,800.0,1500.0,1150.0,22.3041662,73.2012585,,
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,14/08/2025,2500.0,3500.0,3000.0,22.3041662,73.2012585,,
Gujarat,Vadodara(Baroda),Padra,Coriander(Leaves),Other,FAQ,14/08/2025,3000.0,5000.0,4000.0,22.3041662,73.2012585,,
